N,P,K,Temperature,Humidity,Rainfall,pH,Label
102.32535894521125,42.412624430382465,41.77656807274609,27.115939451333023,81.13510846549258,2154.38857662811,5.986816302057227,Rice
85.63051021203536,44.95855053220662,45.88177234383895,23.162561001966846,90.050673367337,1857.8797550398415,6.6534020992040634,Rice
75.65378370104334,52.35469892266314,48.358005441726704,30.112081733483308,84.05162481638739,2095.118447205078,5.5608613484781095,Rice
81.14861871501743,39.35117633362098,38.18200692425587,21.92856218505831,88.32349434147383,1643.4205648864406,6.242561304033848,Rice
89.70132563592998,43.06180539108591,35.89808411578677,25.100462671272332,86.06599331758947,2179.851040762835,5.588423622451579,Rice
80.04397578776647,54.9136067815341,52.72049829227572,27.474895767108116,80.36742021466503,2303.162153451358,6.093976937255303,Rice
100.57177637169481,55.338982674900436,41.51182243843927,20.227279020449963,83.30992887008463,1795.6285773726227,5.483145039683817,Rice
75.27114146085728,44.32087875337493,37.6414177884752,27.52779144646946,82.83655340967299,1629.898221526478,5.795252638961948,Rice
92.09872842493216,41.365329270575536,27.658087292344227,24.047837508827453,86.83493040868821,2086.6090428471834,6.420077288063565,Rice
70.37490598305097,45.86339799744851,52.99006806992654,25.86162354894594,89.76438471210737,1645.0867686883744,5.874910677376466,Rice
93.14934799210522,52.824773135173785,40.351587246133235,27.853877568034996,82.34193471574065,2209.0310666712962,5.498864135874574,Rice
79.63675399747699,44.10623137533437,47.844938089949224,21.05270402196375,86.21190285823477,1982.8815420731053,5.799345615093318,Rice
75.03149641555329,47.782043170264714,44.49696944622021,28.423941518923094,86.14618809423825,2208.857753296739,5.483972559825994,Rice
71.02139774814077,53.37858100730497,52.43939128346531,30.929280540246516,90.47959411973525,1659.701596043533,5.940567883556217,Rice
81.7855272569476,46.54254861024889,35.597466151683975,28.21775395381035,89.74969483462638,2204.4320173247256,6.204766228591361,Rice
91.30866094676686,55.78171531640298,32.28724359369014,21.890777842273266,87.2431203529944,2145.176997378145,5.925558406023474,Rice
78.99491938844248,49.803953584627905,37.8532699958088,26.7025796029545,90.51262974645265,1988.5255900798047,6.544594583146385,Rice
79.06525739960557,41.3617891232316,45.41668538915956,23.331643220626443,81.65730879741037,2214.0816375411064,6.186365104452796,Rice
96.54547648392155,52.05664367405446,43.07377124139869,24.22360948185762,87.52575125201466,1888.9746471635979,5.975871053349931,Rice
90.89282817943989,57.39928970680251,44.67018032911303,26.207878466679766,82.87060891660875,2090.2978258805438,6.25436796532758,Rice
75.72589567276506,58.262321129774676,50.660001416667015,31.030305927249668,86.9687991881178,1914.2679294654993,6.140704039352284,Rice
82.23880507156765,41.57606105304296,39.489521593924806,28.060428470263,83.98676866993875,2294.787717498219,6.033827430232823,Rice
75.29146703684876,52.65351826009651,41.22737741833495,23.893309501606762,85.63501610699385,2481.996784752259,5.500190194666139,Rice
91.5431915328875,43.236647937986305,36.63112718033186,24.44449492980981,83.31365601495143,2290.1373914946407,5.632916788252758,Rice
74.58949902214586,59.4701002702788,55.759075481023544,24.119270248564195,84.23867494829534,2184.811355440501,5.665366853026692,Rice
91.32730680148505,62.127348979518416,52.496195962924524,29.814482196880576,81.1907651690917,1493.4180776674157,5.907100812235645,Rice
97.74919696185019,45.75114857194924,46.095059978120844,19.158496850082877,85.88729378264841,2325.6750532988285,6.1311701829969,Rice
93.93361377946087,50.009177268895506,45.62078035307469,19.956529198933872,82.99188956152707,1638.484785409795,5.949117846518739,Rice
88.07788502824967,40.87229908424748,33.14809394030033,26.26386746845972,88.46992385178417,1703.0189795645913,6.112715066363512,Rice
96.55536413066787,43.15501115181562,44.162212063775065,21.524585788119275,80.63382591263046,1822.2835053256651,6.631688045844743,Rice
73.29682030841127,52.286729726107495,47.177295092759636,22.484950009455176,82.64918371234533,2125.95808681187,6.324746185318281,Rice
98.91580524971755,48.128427192034756,45.73366736071144,28.66466562235875,83.98044638574572,2331.149018688579,6.451519072991102,Rice
69.32351439632458,56.375403670732645,30.962882486940053,25.614364643116865,80.67658741606957,2210.0525025652382,5.798669967172741,Rice
95.05400974308313,50.68944875141332,39.167047127820766,29.4958750465288,80.76717329754773,2064.9505460875243,5.783149694847918,Rice
76.8846355710336,49.467248184205076,37.726209661467976,21.24800029695755,86.72872655252789,1887.3034784636905,6.05101642716887,Rice
87.81413461521389,58.029563802597,47.17993352822338,21.62545120482225,85.24999034121282,1735.215696547057,5.747941568839051,Rice
75.67309528971025,49.826571687797625,37.41331908304503,27.78201339374978,80.31084670912774,2229.160182087456,6.475152945130597,Rice
85.1083559224463,38.36714668845249,40.933850363414614,25.940590162872326,87.14159392981315,2212.944387395306,6.054090626742267,Rice
81.74469170855036,47.40519847405861,47.03042062400138,26.77814081111488,82.06680292230298,2127.3775082836055,5.73482705880447,Rice
87.30027815299864,50.543302881253794,44.81265724377915,24.15465153336063,83.79824475917384,2143.536962940466,5.229460479912475,Rice
84.25441598691035,38.66692039543486,39.38727917579563,28.648201194298636,84.81611235808131,2047.0439349651735,6.433363935576759,Rice
